curie,label,retrieved_at
UO:0000032,hour,2026-09-14T10:18:43.495261
UO:0000033,day,2026-09-14T10:18:44.855493
UO:0000034,week,2026-09-14T10:18:47.671487
UO:0000036,year,2026-09-17T21:15:12.947197
UO:0000064,micromolar,2026-09-14T10:18:42.818001
UO:0000187,percent,2026-09-14T10:18:45.530617
UO:0000274,microgram per milliliter,2026-09-14T10:20:06.533056
UO:0000308,milligram per kilogram,2026-09-14T10:18:46.974996
UO:0010070,picogram per milliliter,2026-09-18T08:03:07.694792
UO:0010071,microgram per square centimeter,2026-09-18T08:03:07.694792
