pmid,doi,title,pdf_filename,notes
PMID:42194752,10.3390/jcm15103791,Seasonal Decline in Lung Function Among Residents of Northern Thailand: A Longitudinal Study Before and After the Haze Period.,Wongta_2026_W8S6PNT9.pdf,from Zotero (resolved from DOI)
PMID:39682757,10.3390/cells13232009,HIV-1 Tat Protein and Cigarette Smoke Mediated ADAM17 Upregulation Can Lead to Impaired Mucociliary Clearance.,Panda_2024_AM6UAV4P.pdf,from Zotero (resolved from DOI)
PMID:25296361,10.1590/1414-431x20144084,Relationship between pulmonary function and indoor air pollution from coal combustion among adult residents in an inner-city area of southwest China.,Jie_2014_YY4NXDYB.pdf,from Zotero (resolved from DOI)
PMID:39531618,10.1513/AnnalsATS.202404-382OC,Long-Term Air Pollution Exposure and Severity of Idiopathic Pulmonary Fibrosis: Data from the Idiopathic Pulmonary Fibrosis Prospective Outcomes (IPF-PRO)  Registry.,Sack_2025_GBTHQKRT.pdf,from Zotero (resolved from DOI)
PMID:34797737,10.1513/AnnalsATS.202107-767OC,Lung Function and Short-Term Ambient Air Pollution Exposure: Differential Impacts of Omega-3 and Omega-6 Fatty Acids.,Tong_2022_GIPZU3IJ.pdf,from Zotero (resolved from DOI)
PMID:35103485,10.1289/EHP8930,Fine Particulate Matter and Lung Function among Burning-Exposed Deepwater Horizon Oil Spill Workers.,Chen_2022_W69ZS2UT.pdf,from Zotero (resolved from DOI)
PMID:36695591,10.1289/EHP11155,Prenatal Exposure to PM2.5 Oxidative Potential and Lung Function in Infants and Preschool- Age Children: A Prospective Study.,Marsal_2023_IMLDPN63.pdf,from Zotero (resolved from DOI)
PMID:30570336,10.1289/EHP3668,Effects of Indoor and Ambient Black Carbon and PM2.5 on Pulmonary Function among Individuals with COPD.,Hart_2018_4KL8LBGQ.pdf,from Zotero (resolved from DOI)
PMID:37141245,10.1289/EHP11139,"Respiratory Effects of Traffic-Related Air Pollution: A Randomized, Crossover Analysis of Lung Function, Airway Metabolome, and Biomarkers of Airway Injury.",Zhu_2023_H9M7SJ5R.pdf,from Zotero (resolved from DOI)
PMID:9435151,10.1289/ehp.9810693,Effects of ozone and other pollutants on the pulmonary function of adult hikers.,Korrick_1998_SV4WJSL8.pdf,from Zotero (resolved from DOI)
PMID:16835057,10.1289/ehp.8637,Ozone and PM2.5 exposure and acute pulmonary health effects: a study of hikers in the Great Smoky Mountains National Park.,Girardot_2006_9B9G3XHI.pdf,from Zotero (resolved from DOI)
PMID:34587471,10.1164/rccm.202102-0272OC,Increased Impact of Air Pollution on Lung Function in Preterm versus Term Infants: The BILD Study.,Decrue_2022_FSYBIG4J.pdf,from Zotero (resolved from DOI)
PMID:26575800,10.1164/rccm.201506-1058OC,Lifetime Exposure to Ambient Pollution and Lung Function in Children.,Rice_2016_LLQ2RGAV.pdf,from Zotero (resolved from DOI)
PMID:27347301,10.11604/pamj.2016.23.212.7640,"Respiratory symptoms and ventilatory functions among quarry workers in Edo state, Nigeria.",Isara_2016_VMTTWE87.pdf,from Zotero (resolved from DOI)
PMID:29621753,10.1159/000488726,Necroptosis Contributes to Urban Particulate Matter-Induced Airway Epithelial Injury.,Xu_2018_476W7PPQ.pdf,from Zotero (resolved from DOI)
PMID:32454790,10.1155/2020/4260204,Exposure to Air Pollution Exacerbates Inflammation in Rats with Preexisting COPD.,Wang_2020_XMY4NFI6.pdf,from Zotero (resolved from DOI)
PMID:24318115,10.1152/ajplung.00163.2013,Aqueous cigarette smoke extract induces a voltage-dependent inhibition of CFTR expressed in Xenopus oocytes.,Moran_2014_SIISMZDY.pdf,from Zotero (resolved from DOI)
PMID:25104428,10.1136/oemed-2014-102303,Associations between three specific a-cellular measures of the oxidative potential of particulate matter and markers of acute airway and nasal  inflammation in healthy volunteers.,Janssen_2015_85HFZMAQ.pdf,from Zotero (resolved from DOI)
PMID:21651749,10.1111/j.1752-699X.2011.00258.x,The relationship of glutathione-S-transferases copy number variation and indoor air pollution to symptoms and markers of respiratory disease.,Hersoug_2012_767B793H.pdf,from Zotero (resolved from DOI)
PMID:26147538,10.1097/JOM.0000000000000473,Comparison of Acute Health Effects From Exposures to Diesel and Biodiesel Fuel Emissions.,Mehus_2015_UIESCCEC.pdf,from Zotero (resolved from DOI)
PMID:33620067,10.1093/annweh/wxaa142,"Are Inflammatory Markers an Indicator of Exposure or Effect in Firefighters Fighting a Devastating Wildfire? Follow-up of a Cohort in Alberta, Canada.",Cherry_2021_TVREYQWH.pdf,from Zotero (resolved from DOI)
PMID:20713693,10.1073/pnas.1007625107,Extracellular superoxide dismutase protects against pulmonary emphysema by attenuating oxidative fragmentation of ECM.,Yao_2010_LQ9MFA2W.pdf,from Zotero (resolved from DOI)
PMID:23875733,10.1042/CS20130117,The composition of cigarette smoke determines inflammatory cell recruitment to the lung in COPD mouse models.,John_2014_QMVEFQIL.pdf,from Zotero (resolved from DOI)
PMID:29386584,10.1038/s41598-018-20445-7,Protein corona of airborne nanoscale PM2.5 induces aberrant proliferation of human lung fibroblasts based on a 3D organotypic culture.,Li_2018_TUAWKWBB.pdf,from Zotero (resolved from DOI)
PMID:33996505,10.1016/j.toxrep.2021.04.007,Short-term whole body cigarette smoke exposure induces regional differences in cellular response in the mouse larynx.,Easwaran_2021_32IF33EZ.pdf,from Zotero (resolved from DOI)
PMID:41389869,10.1016/j.tox.2025.154369,Biological responses of human tracheobronchial mucociliary pseudo-epithelium repeatedly exposed at the air-liquid interface to PM(10) indoor particles.,El_Hajjar_2026_M9S2VL4V.pdf,from Zotero (resolved from DOI)
PMID:30053496,10.1016/j.tox.2018.07.015,Cigarette whole smoke solutions disturb mucin homeostasis in a human in vitro airway tissue model.,Cao_2018_YTQBRM2G.pdf,from Zotero (resolved from DOI)
PMID:40228672,10.1016/j.taap.2025.117346,Fudosteine attenuates lung inflammation in mice with PM2.5-induced asthma exacerbation by inhibiting pyroptosis via the NLRP3/caspase-1/GSDMD pathway.,Liu_2025_BNULKJKY.pdf,from Zotero (resolved from DOI)
PMID:36608590,10.1016/j.redox.2022.102587,PM2.5 increases susceptibility to acute exacerbation of COPD via NOX4/Nrf2 redox imbalance-mediated mitophagy.,Fan_2023_UTV7F6E7.pdf,from Zotero (resolved from DOI)
PMID:40056638,10.1016/j.phymed.2025.156568,Effective compound combination of Bufei Yishen formula ameliorates PM2.5-induced COPD by inhibiting mitochondrial oxidative stress through SIRT3-mediated FOXO3  deacetylation.,Wang_2025_4MGVKC63.pdf,from Zotero (resolved from DOI)
